Number,Valence,Energy,Tension,Anger,Fear,Happy,Sad,Tender,Beauty,Liking,TARGET,soundtrack,link
022,7.56,8.35,5.06,1.33,1.18,6.81,1.30,1.51,5.53,5.36,HAPPY_HIGH,Batman,250
023,8.27,8.54,4.46,1.04,1.03,8.21,1.10,1.45,4.35,4.85,HAPPY_HIGH,Shallow Grave,001
024,7.96,8.63,5.94,1.27,1.12,6.94,1.09,1.27,4.57,4.82,HAPPY_HIGH,Man of Galilee CD1,004
025,7.67,7.42,4.15,1.09,1.12,6.28,1.58,2.22,5.89,5.75,HAPPY_HIGH,Oliver Twist,192
026,6.90,5.25,4.21,1.04,1.52,4.66,2.16,4.34,6.19,5.83,HAPPY_MODERATE,The Omen,270
027,7.75,8.08,4.77,1.09,1.24,6.27,1.67,2.30,6.32,6.65,HAPPY_MODERATE,Oliver Twist,246
028,7.77,4.27,2.52,1.01,1.09,3.42,2.72,5.34,6.39,6.39,HAPPY_MODERATE,Grizzly Man,343
029,7.13,3.60,2.42,1.00,1.21,3.63,2.90,5.31,6.34,5.77,HAPPY_MODERATE,The Portait of a Lady,340
030,7.00,3.44,2.79,1.03,1.31,2.87,2.88,4.70,6.03,5.52,HAPPY_MODERATE,Nostradamus,079
031,5.02,3.19,3.65,1.10,1.69,1.25,6.78,3.58,6.86,5.96,SAD_HIGH,The English Patient,032
032,4.04,3.67,5.33,1.99,3.07,1.09,5.15,1.94,5.80,5.28,SAD_HIGH,Running Scared,036
033,4.38,2.48,3.27,1.07,1.78,1.12,7.18,3.03,6.73,5.83,SAD_HIGH,The Portait of a Lady,288
034,4.85,3.52,4.17,1.13,1.39,1.40,6.12,3.15,6.25,5.98,SAD_HIGH,Big Fish,039
035,4.25,5.58,6.25,2.39,2.22,1.66,5.73,2.79,6.43,5.71,SAD_HIGH,Man of Galilee CD1,040
036,5.13,2.52,3.81,1.10,2.19,1.34,5.21,2.43,5.43,5.26,SAD_MODERATE,Angel Heart,274
037,4.79,3.88,5.25,1.16,3.27,1.72,4.18,3.04,6.36,5.98,SAD_MODERATE,Batman,297
038,4.73,2.79,4.60,1.09,2.16,1.15,4.07,2.70,5.45,4.90,SAD_MODERATE,Dracula,276
039,6.19,3.08,2.90,1.06,1.25,2.00,4.78,5.09,6.53,5.67,SAD_MODERATE,Shakespeare In Love,054
040,5.58,3.67,4.40,1.01,1.55,2.09,5.33,4.46,6.66,5.78,SAD_MODERATE,The English Patient,030
041,7.27,3.85,2.48,1.01,1.15,3.72,3.01,6.66,6.73,5.94,TENDER_HIGH,Shine,062
042,7.65,3.96,1.96,1.00,1.18,3.70,2.49,6.06,6.97,6.22,TENDER_HIGH,Pride & Prejudice,335
043,7.44,3.73,2.35,1.03,1.06,4.25,2.01,5.73,6.75,5.98,TENDER_HIGH,Dances with Wolves,334
044,7.38,3.21,1.85,1.01,1.10,2.85,2.87,5.48,6.82,6.26,TENDER_HIGH,Pride & Prejudice,331
045,6.42,3.42,2.85,1.00,1.13,2.61,3.31,4.31,6.33,5.59,TENDER_HIGH,Oliver Twist,299
046,5.81,3.04,3.44,1.04,1.60,1.57,4.81,4.40,6.12,5.47,TENDER_MODERATE,Batman,292
047,7.23,4.23,2.63,1.03,1.21,3.75,3.52,5.39,6.83,6.47,TENDER_MODERATE,Oliver Twist,346
048,5.85,3.56,4.33,1.06,2.03,1.94,3.15,4.43,5.98,5.56,TENDER_MODERATE,Dracula,357
049,7.60,5.25,2.73,1.00,1.06,4.93,2.22,5.12,6.21,5.57,TENDER_MODERATE,Juha,349
050,5.77,3.27,3.69,1.01,1.63,1.64,5.28,3.69,6.35,5.88,TENDER_MODERATE,Oliver Twist,296
051,7.30,5.00,3.18,1.00,1.00,4.64,2.51,4.96,6.47,5.84,VALENCE POS HIGH,Juha,187
052,6.82,4.97,3.46,1.00,1.09,3.34,2.81,4.62,6.48,5.76,VALENCE POS HIGH,Blanc,189
053,7.07,6.76,4.55,1.00,1.21,4.79,1.85,3.60,6.00,6.10,VALENCE POS HIGH,Gladiator,021
054,6.66,4.21,3.75,1.00,1.23,1.89,4.57,5.26,7.07,6.51,VALENCE POS HIGH,Pride & Prejudice,190
055,7.04,7.27,4.66,1.38,1.40,5.60,1.17,1.96,5.87,5.74,VALENCE POS HIGH,Dances with Wolves,188
056,6.67,6.75,5.16,1.11,1.19,5.11,1.72,3.04,5.26,5.24,VALENCE POS MODERATE,Man of Galilee CD1,160
057,6.57,7.55,5.51,1.47,1.45,4.49,1.96,2.02,5.08,4.64,VALENCE POS MODERATE,Shakespeare In Love,022
058,6.03,3.82,4.31,1.06,1.51,1.77,5.06,4.30,5.81,5.27,VALENCE POS MODERATE,Vertigo OST,029
059,6.69,6.33,4.36,1.11,1.15,4.32,2.02,2.60,5.50,5.02,VALENCE POS MODERATE,Vertigo OST,020
060,5.84,5.90,5.67,1.28,2.49,2.72,2.47,2.02,5.70,5.47,VALENCE POS MODERATE,Outbreak,204
061,5.78,5.97,5.99,1.26,1.60,3.00,2.32,2.17,4.72,5.43,VALENCE NEG MODERATE,Juha,269
062,3.48,5.58,7.37,2.94,4.98,1.00,2.74,1.17,5.08,5.01,VALENCE NEG MODERATE,Shakespeare In Love,117
063,4.76,3.96,6.04,1.23,3.83,1.19,3.91,2.32,5.72,5.42,VALENCE NEG MODERATE,Batman,360
064,3.03,5.12,7.58,2.11,6.19,1.28,1.55,1.15,4.22,4.76,VALENCE NEG MODERATE,The Fifth Element,237
065,4.07,5.04,6.93,2.36,4.30,1.26,3.28,1.57,5.29,5.37,VALENCE NEG MODERATE,Big Fish,178
066,2.58,6.85,8.16,3.83,5.87,1.06,1.74,1.04,3.88,4.18,VALENCE NEG HIGH,The English Patient,170
067,4.72,4.72,6.67,1.26,3.02,1.32,3.57,2.13,5.08,4.87,VALENCE NEG HIGH,Lethal weapon 3,325
068,2.51,6.03,8.01,3.13,6.70,1.00,1.79,1.04,4.02,4.67,VALENCE NEG HIGH,Road To Perdition,098
069,2.36,7.09,8.24,6.38,5.34,1.00,1.83,1.02,4.22,5.19,VALENCE NEG HIGH,Hellraiser,218
070,2.04,4.54,7.76,2.17,6.17,1.04,1.68,1.06,2.94,3.30,VALENCE NEG HIGH,Grizzle Man,215
071,7.45,7.64,4.27,1.02,1.02,6.89,1.11,1.79,5.70,5.69,ENERGY POS HIGH,The Untouchables,010
072,7.45,8.39,5.61,1.19,1.17,7.34,1.09,1.11,4.54,4.65,ENERGY POS HIGH,Man of Galilee CD1,004
073,6.91,8.12,5.66,1.04,1.09,6.36,1.17,2.13,5.85,5.71,ENERGY POS HIGH,Shine,011
074,6.36,7.13,6.54,1.32,1.62,4.87,1.38,2.11,5.31,5.44,ENERGY POS HIGH,Shine,018
075,7.31,8.04,4.57,1.21,1.17,7.09,1.04,1.40,5.40,5.26,ENERGY POS HIGH,Batman,250
076,6.61,4.93,4.00,1.00,1.04,3.45,2.26,2.49,4.51,4.71,ENERGY POS MODERATE,Juha,265
077,6.27,6.34,5.42,1.04,1.26,4.53,1.55,1.83,4.66,5.60,ENERGY POS MODERATE,Lethal weapon 3,261
078,5.30,5.87,5.93,1.23,2.02,1.72,4.85,2.74,6.07,6.10,ENERGY POS MODERATE,Crouching Tiger,210
079,7.25,8.12,5.03,1.26,1.19,6.60,1.02,1.19,5.04,4.99,ENERGY POS MODERATE,Batman,260
080,5.88,6.78,6.10,1.06,2.02,4.00,1.81,1.66,5.76,6.01,ENERGY POS MODERATE,Oliver Twist,262
081,5.60,3.07,4.01,1.00,1.53,1.13,6.38,3.15,6.06,5.42,ENERGY NEG MODERATE,Juha,294
082,5.24,3.70,4.79,1.06,1.43,1.36,5.36,3.40,6.14,5.82,ENERGY NEG MODERATE,Big Fish,039
083,6.40,4.49,4.60,1.00,1.23,2.43,3.96,4.26,6.24,5.81,ENERGY NEG MODERATE,Big Fish,058
084,5.19,2.99,4.43,1.04,2.02,1.04,6.17,3.02,6.47,5.90,ENERGY NEG MODERATE,Blanc,295
085,4.54,4.33,5.97,1.23,3.47,1.23,3.66,1.68,5.55,5.17,ENERGY NEG MODERATE,Oliver Twist,329
086,4.28,3.88,5.84,1.96,3.13,1.02,5.94,1.57,5.67,5.21,ENERGY NEG HIGH,Running Scared,036
087,4.55,3.57,5.61,1.60,3.66,1.00,5.60,1.81,6.28,5.91,ENERGY NEG HIGH,Road To Perdition,037
088,5.03,2.96,4.10,1.19,2.15,1.00,5.66,2.32,6.08,5.41,ENERGY NEG HIGH,Blanc,283
089,4.33,3.21,5.40,1.09,3.23,1.04,4.94,2.13,5.86,5.53,ENERGY NEG HIGH,Blanc,280
090,4.43,3.55,5.84,1.40,2.98,1.00,5.00,2.43,5.51,4.78,ENERGY NEG HIGH,Batman Returns,273
091,3.69,7.09,7.66,3.38,5.57,1.04,2.13,1.06,5.39,5.51,TENSION POS HIGH,The Alien Trilogy,104
092,2.99,6.99,8.12,6.47,4.74,1.02,1.66,1.00,4.56,5.21,TENSION POS HIGH,The Fifth Element,309
093,2.46,7.25,8.36,5.51,6.51,1.06,1.51,1.00,4.33,5.19,TENSION POS HIGH,Babylon 5,230
094,3.06,6.01,8.07,4.00,5.96,1.02,2.04,1.26,4.28,4.46,TENSION POS HIGH,Hellraiser,306
095,3.01,6.28,7.94,4.53,5.85,1.00,1.94,1.04,4.77,5.05,TENSION POS HIGH,Oliver Twist,234
096,3.63,5.54,6.97,2.74,4.11,1.09,3.47,1.60,6.10,6.06,TENSION POS MODERATE,The Missing,115
097,2.88,6.51,7.78,2.47,5.74,1.53,1.19,1.02,3.03,3.61,TENSION POS MODERATE,Shallow Grave,156
098,5.46,4.78,5.57,1.30,2.19,1.79,3.19,2.89,5.18,4.85,TENSION POS MODERATE,Naked Lunch,163
099,4.16,5.22,6.84,2.55,2.81,1.11,4.89,1.83,5.41,4.99,TENSION POS MODERATE,Dracula,240
100,3.22,5.09,7.43,2.11,5.28,1.00,2.15,1.19,4.74,4.56,TENSION POS MODERATE,Cape Fear,177
101,7.57,4.60,2.46,1.00,1.00,3.94,2.28,4.94,5.99,5.43,TENSION NEG MODERATE,Juha,349
102,6.01,4.96,5.25,1.04,1.26,2.40,3.81,3.30,5.80,5.24,TENSION NEG MODERATE,Shakespeare In Love,180
103,5.87,4.54,4.73,1.17,1.36,2.06,3.64,2.74,5.46,5.69,TENSION NEG MODERATE,The Fifth Element,353
104,6.19,3.63,3.48,1.09,1.30,1.32,5.60,3.79,6.55,6.26,TENSION NEG MODERATE,Crouching Tiger,293
105,8.01,8.27,4.16,1.00,1.00,7.85,1.19,1.45,5.30,5.82,TENSION NEG MODERATE,Pride & Prejudice,263
106,7.37,3.73,2.21,1.00,1.00,3.13,2.45,6.57,6.30,5.93,TENSION NEG HIGH,Lethal weapon 3,333
107,7.09,4.21,2.75,1.00,1.09,4.26,2.43,5.89,6.34,5.36,TENSION NEG HIGH,The Godfarher,191
108,5.87,2.97,3.54,1.02,1.45,1.17,5.13,4.09,6.38,5.94,TENSION NEG HIGH,Gladiator,045
109,5.37,2.28,3.22,1.13,1.45,1.02,7.00,3.47,6.72,6.08,TENSION NEG HIGH,Pride & Prejudice,278
110,6.75,3.90,2.82,1.00,1.02,3.23,3.28,4.85,6.13,5.52,TENSION NEG HIGH,Big Fish,016
