emotion,anger,fear,happiness,sadness,surprise,neutral,pred_label
anger,0.9907499,0.0051626367,0.00044750152,0.0024539973,0.00065707637,0.0005288286,anger
fear,0.3409906,0.03374967,0.035225242,0.07946928,0.011741259,0.49882397,neutral
sadness,0.016643852,0.2375007,0.003987192,0.72843724,0.0018025279,0.011628581,sadness
sadness,0.04716795,0.09404938,0.04122151,0.03246403,0.45623526,0.32886186,surprise
anger,0.9875739,0.0083721485,0.00083626236,0.0013596402,0.0013543207,0.0005038111,anger
fear,0.0018572683,0.039638106,0.0021444256,0.0012510752,0.9547265,0.00038264977,surprise
happiness,0.00026489038,0.00033842796,0.9554726,0.0013865625,0.00033985171,0.04219775,happiness
neutral,0.009464564,0.028675333,0.003578546,0.039332394,0.0025049148,0.91644424,neutral
happiness,0.00035463358,0.00034479948,0.9973828,0.0015410994,0.00014006655,0.00023644426,happiness
neutral,0.0011802233,0.007260038,0.00029749138,0.009417581,0.0007743431,0.9810703,neutral
anger,0.22325698,0.010785148,0.014682462,0.02502983,0.0015197382,0.72472584,neutral
sadness,0.24200873,0.044844355,0.015904946,0.3768675,0.010073741,0.31030074,sadness
neutral,0.02810708,0.01873412,0.0018778538,0.37694973,0.0009880076,0.57334316,neutral
fear,0.0028454766,0.9640933,0.0003440219,0.002648444,0.029865306,0.00020336139,fear
neutral,0.053262386,0.08293074,0.0028507907,0.72516966,0.0011361024,0.1346504,sadness
happiness,0.00047747712,0.0019262754,0.98431087,0.0017382487,0.001109266,0.010437815,happiness
anger,0.99875224,0.0006897077,2.328021e-05,0.0005170394,6.549354e-06,1.118632e-05,anger
sadness,0.010113082,0.01860427,0.0016377467,0.9657128,0.0016936335,0.0022384392,sadness
sadness,0.64935833,0.014338684,0.2381147,0.0106659345,0.013620022,0.07390234,anger
fear,0.20518677,0.20518929,0.008486021,0.2967121,0.011665953,0.27275988,sadness
neutral,0.009981215,0.018262684,0.0012262723,0.218215,0.0005959004,0.75171894,neutral
happiness,0.09937398,0.009834496,0.4539353,0.016538912,0.017592717,0.40272453,happiness
surprise,0.008542236,0.0049652266,0.001527949,0.0011408302,0.97913647,0.004687252,surprise
happiness,0.00070223707,9.7898504e-05,0.98912805,0.00051460956,0.00023226747,0.009324967,happiness
surprise,0.0028101632,0.29706818,0.002160044,0.001982629,0.695434,0.0005451118,surprise
neutral,0.17868313,0.12722117,0.01360856,0.20021358,0.0035435986,0.4767299,neutral
anger,0.22528954,0.013567301,0.0054793167,0.081791006,0.0004277021,0.6734451,neutral
happiness,2.2811178e-05,7.1207337e-06,0.99961406,2.4667823e-05,7.996228e-06,0.00032341655,happiness
surprise,0.014942621,0.098456055,0.004107466,0.0037371197,0.87790805,0.0008486256,surprise
sadness,0.018309493,0.17033938,0.005529689,0.37464643,0.010181558,0.42099348,neutral
sadness,0.0060723205,0.27984774,0.0017935415,0.69484687,0.00050953025,0.016929962,sadness
happiness,0.019493757,0.007777779,0.9514033,0.019260494,0.001056646,0.0010079973,happiness
sadness,6.5988825e-05,0.9980088,1.5136058e-05,0.0017422729,0.00014810193,1.9594017e-05,fear
fear,0.03731587,0.17338766,0.010924078,0.64279425,0.0009437603,0.13463432,sadness
surprise,0.0013176629,0.013958034,0.00040817383,0.00095672917,0.98212284,0.0012365867,surprise
happiness,0.00029699464,3.2705524e-05,0.9990926,0.0002730998,5.5582072e-06,0.00029904864,happiness
neutral,0.018089402,0.0069480455,0.038181406,0.0119620105,0.0062606917,0.9185584,neutral
happiness,0.016959311,0.017345302,0.93961424,0.0020283805,0.022789976,0.0012627934,happiness
sadness,0.0049163755,0.04877018,0.011573443,0.89486045,0.0002677477,0.039611824,sadness
happiness,0.032819025,0.5260166,0.19529368,0.002564385,0.24267112,0.0006351755,fear
surprise,0.0013518793,0.003055182,0.0032897384,0.00037401076,0.9902048,0.0017243458,surprise
happiness,0.0026935101,0.0010288373,0.93204033,0.0030614373,0.0007235366,0.060452394,happiness
surprise,0.003854073,0.030910086,0.0035672095,0.0014821596,0.9478031,0.0123833455,surprise
sadness,0.22361922,0.23577559,0.024702435,0.26212686,0.018837966,0.23493792,sadness
fear,0.8756967,0.03658727,0.0027322352,0.008478604,0.07543653,0.0010686294,anger
neutral,0.712223,0.03763036,0.1717937,0.005924964,0.047823433,0.024604497,anger
anger,0.28616896,0.12128484,0.008103385,0.21950358,0.008632432,0.35630673,neutral
surprise,0.0025393039,0.05853179,0.0010567093,0.0029595417,0.9333056,0.001606977,surprise
neutral,0.07365201,0.052062374,0.012442751,0.11863706,0.0072182124,0.73598766,neutral
neutral,0.020105224,0.001960421,0.93982863,0.0096433805,0.0003281757,0.02813413,happiness
fear,0.4742507,0.36131614,0.091045216,0.062196568,0.0074958885,0.0036954428,anger
neutral,0.031201698,0.014569599,0.049801078,0.03627185,0.0037125894,0.86444324,neutral
surprise,0.00019547765,0.00066005805,0.00011501702,4.1878706e-05,0.9985661,0.00042153668,surprise
neutral,0.024718056,0.002758461,0.032463107,0.012262007,0.00020353566,0.9275948,neutral
sadness,0.0115807345,0.006231857,4.9810562e-05,0.98148555,6.76292e-05,0.0005843241,sadness
sadness,0.051357303,0.2012854,0.004858131,0.7196325,0.000404189,0.022462431,sadness
anger,0.92317736,0.0050675636,6.8279725e-05,0.051689044,0.00020023657,0.01979753,anger
anger,0.9975721,0.0012723375,0.0005465063,0.0003464142,0.00014209191,0.000120464836,anger
happiness,0.016093105,0.001744185,0.9086126,0.029914854,0.00030891143,0.04332625,happiness
surprise,0.030453436,0.41925412,0.002090711,0.004161108,0.5427481,0.0012925152,surprise
sadness,0.66870093,0.03018437,0.0017636088,0.25395712,0.0010564515,0.04433757,anger
happiness,4.3327665e-05,2.5376241e-05,0.99982953,2.9767847e-05,3.698886e-05,3.494375e-05,happiness
happiness,2.0409705e-05,8.1881626e-05,0.99748397,3.19051e-05,0.0010146406,0.0013671891,happiness
happiness,0.011229035,0.008019235,0.51447743,0.0029703814,0.45443618,0.008867722,happiness
happiness,0.00041653798,5.9370617e-05,0.96723896,0.0001608357,0.0010576418,0.031066753,happiness
neutral,0.026468676,0.009000166,0.0043840646,0.14830612,0.0017690844,0.8100718,neutral
anger,0.33079758,0.61459315,0.0035423883,0.0015900208,0.04903208,0.00044477204,fear
neutral,0.017174188,0.00576441,0.9343876,0.004205017,0.0031746915,0.035294045,happiness
sadness,0.040666897,0.08489124,0.0036060798,0.23133597,0.003483064,0.6360167,neutral
surprise,0.994379,0.005447048,4.7683756e-05,2.9926425e-05,9.2402996e-05,3.970379e-06,anger
fear,0.8385673,0.08110792,0.0004510671,0.0733184,0.002103308,0.0044520153,anger
happiness,0.087968424,0.12051285,0.071250305,0.008042175,0.7042804,0.007945958,surprise
happiness,0.000107464984,5.7115878e-05,0.99914896,9.040031e-05,8.741743e-05,0.00050863856,happiness
happiness,0.009157799,0.0060677426,0.9808076,0.0017342736,0.0011253365,0.0011073285,happiness
anger,0.99756384,0.00090632576,6.0875605e-05,0.001419023,1.0337208e-05,3.965318e-05,anger
happiness,2.6827547e-05,1.5066955e-05,0.9998777,1.0426368e-05,2.3255821e-05,4.6824276e-05,happiness
neutral,0.0032132787,0.0022968887,0.007110556,0.009275492,0.00046373016,0.97764003,neutral
anger,0.58060074,0.034238208,0.0055757123,0.22703937,0.000725462,0.15182051,anger
happiness,0.00018262115,6.9646485e-05,0.9954426,0.0003301551,7.450964e-05,0.003900396,happiness
fear,0.79276747,0.14875425,0.0010477352,0.001328125,0.055990916,0.00011141899,anger
happiness,0.12974267,0.04995933,0.55723006,0.006743548,0.2318613,0.02446306,happiness
neutral,0.0012914693,0.0011907744,0.0002844452,0.0032185435,8.869293e-05,0.993926,neutral
neutral,0.055706874,0.013740121,0.050601587,0.0870489,0.0005165431,0.792386,neutral
surprise,0.0030067582,0.013032624,0.0028794187,0.0062473803,0.952819,0.022014795,surprise
happiness,0.0010369284,0.0019512029,0.91261375,0.0022158036,0.0020287433,0.08015361,happiness
happiness,6.17835e-05,6.6287444e-05,0.9988938,2.9926197e-05,0.00033450054,0.0006137287,happiness
anger,0.98822844,0.006048707,0.00082902977,0.0035733317,0.00014121563,0.0011791894,anger
anger,0.88743097,0.046780672,0.00329381,0.035026472,0.011270901,0.016197192,anger
fear,0.6921519,0.04146915,0.0071566124,0.105399765,0.015436163,0.13838634,anger
happiness,0.0005359519,0.00026464515,0.92817193,0.00085595436,0.0003682885,0.06980322,happiness
fear,0.023121258,0.9047708,6.345231e-05,0.06922539,0.00052697863,0.0022921567,fear
happiness,0.0002309052,0.00046880983,0.8979809,8.245854e-05,0.10070321,0.0005338462,happiness
neutral,0.02604995,0.0052451026,0.16327964,0.007530026,0.0061772736,0.791718,neutral
fear,0.00033436494,0.99681914,9.340536e-06,0.00030838355,0.0025222746,6.4571486e-06,fear
neutral,0.031747203,0.024179513,0.18284248,0.047373332,0.004781853,0.7090756,neutral
surprise,0.0013365188,0.014306588,0.0017833103,0.0006396035,0.9804921,0.0014418898,surprise
anger,0.011366082,0.03402635,0.84105647,0.103769384,0.0037368129,0.0060449517,happiness
anger,0.8578106,0.01951826,0.0032598071,0.0024387077,0.11339153,0.003581077,anger
fear,0.0017469102,0.98498595,0.00015779797,0.009380059,0.0034533828,0.00027588752,fear
sadness,0.0012962446,0.058535498,0.0047607175,0.9290008,0.004218667,0.0021880688,sadness
neutral,0.013259228,0.002491229,0.32944244,0.007903056,0.0061683096,0.64073575,neutral
happiness,0.023051117,0.026126726,0.89946955,0.0028436545,0.04594512,0.00256389,happiness
neutral,0.17022559,0.097867705,0.0020549477,0.10825729,0.005226795,0.61636764,neutral
surprise,0.02865583,0.025567878,0.428939,0.0040102396,0.5084088,0.0044182525,surprise
surprise,0.0070407176,0.012979684,0.000527648,0.0006317271,0.97854316,0.0002770008,surprise
fear,0.001091427,0.9230305,0.0008425947,0.033195563,0.037665054,0.004174838,fear
anger,0.0094403215,0.0016964835,0.00083666976,0.005956779,0.00012348154,0.9819463,neutral
fear,0.00701852,0.9310132,0.00020215698,0.055478007,0.0009702564,0.0053178007,fear
neutral,0.78436106,0.015325477,0.018050535,0.08345188,0.006048057,0.09276306,anger
surprise,0.3506708,0.19447331,0.0033880593,0.028831307,0.34902018,0.073616326,anger
surprise,0.012022514,0.19413958,0.048094492,0.004018059,0.7403484,0.0013768626,surprise
surprise,9.419542e-05,0.0020486447,0.0005626621,0.00024514075,0.9954733,0.0015760998,surprise
neutral,0.0025909436,0.0018687219,0.9097697,0.0017872525,0.00065701205,0.08332625,happiness
fear,0.0043936963,0.005528598,0.00032677874,0.011216524,0.00011745526,0.9784169,neutral
neutral,0.00900225,0.009700309,0.017137647,0.06874781,0.00061016134,0.89480186,neutral
neutral,0.9230188,0.0027547684,0.0015636487,0.01756294,7.976056e-05,0.05502002,anger
happiness,0.00045725604,0.0009617703,0.9271917,0.00016675527,0.0707075,0.00051502656,happiness
sadness,0.014629283,0.088921405,0.007748657,0.878195,0.00047270968,0.01003295,sadness
sadness,0.0039567775,0.72236305,0.00036607138,0.2488249,0.003312958,0.021176316,fear
neutral,0.025857685,0.023791213,0.563456,0.10636447,0.0009510261,0.27957958,happiness
happiness,3.1932923e-05,2.5132513e-05,0.9898234,2.9519497e-05,0.00076392014,0.009326106,happiness
happiness,0.001463538,0.009198213,0.949097,0.025458347,0.0004963838,0.014286478,happiness
happiness,5.375347e-06,1.4106623e-06,0.99791414,5.932436e-06,4.5535085e-06,0.0020685908,happiness
fear,0.016213281,0.8583237,0.00095264707,0.08624115,0.030122483,0.008146834,fear
fear,0.09794698,0.010262774,0.0015407924,0.52622306,0.0002668192,0.36375958,sadness
anger,0.8420385,0.1412204,0.0017137927,0.012273134,0.0014347666,0.0013194428,anger
surprise,0.004710343,0.023321154,0.010701606,0.0014221021,0.95899254,0.00085228326,surprise
happiness,0.0018128359,0.00074049557,0.96329963,0.0013078328,0.0011009891,0.03173812,happiness
surprise,0.00017004723,0.0039230087,0.00016220266,0.00036112787,0.99413645,0.0012471493,surprise
surprise,0.004822356,0.01116629,0.00016015553,0.00012291678,0.983657,7.1345115e-05,surprise
sadness,0.17294246,0.048468716,0.0003560661,0.77611464,0.0009467751,0.0011713143,sadness
surprise,0.008374267,0.015319631,0.0005287932,0.00034987548,0.9750826,0.00034488222,surprise
anger,0.5312929,0.44385132,0.016458582,0.006110291,0.0019555222,0.00033136227,anger
happiness,6.607207e-05,4.2053293e-06,0.99976164,4.1785484e-06,3.6738365e-05,0.00012715011,happiness
anger,0.60938966,0.11153478,0.0009985418,0.16732213,0.004754289,0.10600064,anger
happiness,0.00022565848,0.00031859693,0.95051503,0.00032900317,0.0013994328,0.047212243,happiness
happiness,3.0792041e-06,3.2275382e-06,0.999926,2.003023e-06,3.694127e-05,2.8768382e-05,happiness
anger,0.052677736,0.055720486,0.6016622,0.2819779,0.0027477883,0.005213874,happiness
neutral,0.34943768,0.24884872,0.016703697,0.16513836,0.011837092,0.20803443,anger
neutral,0.024177497,0.02392838,0.0028678179,0.04103934,0.002503047,0.90548384,neutral
happiness,0.003535354,0.0055045676,0.021366632,0.0048364587,0.004845022,0.95991206,neutral
sadness,0.74957573,0.021443246,0.0040805372,0.1623577,0.0037759896,0.058766812,anger
surprise,0.00039408967,0.0022041579,0.00046932817,0.0002359984,0.99601585,0.0006806042,surprise
happiness,0.0059232814,0.0038388702,0.72746384,0.0043955417,0.012038382,0.2463402,happiness
neutral,0.007202929,0.006538064,0.014542534,0.0732376,0.00050947524,0.8979695,neutral
sadness,0.026348602,0.0104519315,0.00051427225,0.9612358,0.00012217659,0.0013270817,sadness
surprise,0.00041051852,0.00062192476,2.778694e-05,1.871807e-05,0.9988329,8.825309e-05,surprise
neutral,0.016376872,0.014182085,0.0050579044,0.027973682,0.004600911,0.93180853,neutral
anger,0.7485571,0.014063999,0.00090836,0.19544885,0.0007655219,0.04025614,anger
anger,0.22720057,0.1993349,0.008518213,0.31927767,0.022558333,0.2231103,sadness
anger,0.7563543,0.039136343,0.0020652388,0.14814232,0.0033419128,0.050959896,anger
sadness,0.15962188,0.31197304,0.0037757577,0.129049,0.15635079,0.23922959,fear
sadness,0.003969827,0.017932419,0.0008149017,0.90229064,0.00010044289,0.07489181,sadness
surprise,0.009107843,0.30741206,0.0075917514,0.007579439,0.66647404,0.0018348689,surprise
sadness,0.8913554,0.007242699,0.0041512162,0.025170514,0.0025452573,0.06953481,anger
happiness,0.0004488127,0.0011967779,0.9253546,0.0004316346,0.06958662,0.0029814886,happiness
surprise,0.0024121937,0.9642125,0.00012603361,0.00060002174,0.03262346,2.5757474e-05,fear
happiness,2.9613577e-06,2.8505168e-05,0.99764,2.402152e-06,0.0023100434,1.611825e-05,happiness
happiness,0.09776063,0.16478069,0.5496596,0.006144391,0.17844301,0.003211713,happiness
anger,0.056158062,0.08660405,0.00063648017,0.49297675,0.0005357735,0.36308885,sadness
sadness,0.07037618,0.10850654,0.0015660748,0.7612245,0.0016803283,0.056646425,sadness
happiness,0.004485967,0.00011749326,0.9905482,0.000627907,0.00011423526,0.00410617,happiness
happiness,0.0016777847,4.457978e-05,0.9962042,0.00010734565,0.00019010248,0.0017760156,happiness
happiness,0.00025480014,0.00020939828,0.9936753,0.0011524818,0.0001508104,0.004557195,happiness
sadness,0.028729388,0.009143972,0.25826168,0.6611688,0.002635347,0.040060796,sadness
neutral,0.009865599,0.0033020638,0.9509781,0.0035587628,0.0015573312,0.030738205,happiness
surprise,0.019097576,0.03782749,0.018679397,0.037433796,0.83227944,0.05468225,surprise
surprise,0.04198578,0.47258955,0.00049187004,0.0041347304,0.4800804,0.00071758707,surprise
happiness,0.00052569015,0.0006347017,0.8838165,0.0011949633,0.0013470224,0.11248113,happiness
neutral,0.016882269,0.026510336,0.001884493,0.8397227,5.674997e-05,0.11494336,sadness
surprise,0.017409395,0.083267055,0.000235851,0.0014162913,0.89690363,0.0007677892,surprise
neutral,0.05068196,0.00804052,0.104793526,0.023229234,0.001867046,0.8113877,neutral
anger,0.93230873,0.060333107,0.0024558622,0.0032385816,0.001062627,0.00060106575,anger
happiness,0.0024138568,0.0011536279,0.65012926,0.0026436504,0.0011260232,0.34253362,happiness
neutral,0.004305514,0.0017710486,0.7506527,0.0054498133,0.00044952775,0.2373715,happiness
fear,0.7165918,0.25157306,0.018884934,0.0026821138,0.009560741,0.0007074668,anger
happiness,0.0006645172,0.00013593072,0.9989391,3.008816e-05,9.2168506e-05,0.00013813717,happiness
neutral,0.0005228022,0.00027941744,0.9893063,0.00072079414,0.000100607256,0.009070102,happiness
fear,0.001639804,0.008731203,0.00071597565,0.00034727066,0.9882256,0.0003402597,surprise
anger,0.055636805,0.024367245,0.0003730223,0.9162314,0.0002045698,0.0031868918,sadness
sadness,0.003550016,0.031631656,0.0006935269,0.96014935,2.4167897e-05,0.0039513,sadness
fear,0.003979764,0.84556043,0.00022110528,0.13949135,0.00023989906,0.010507415,fear
fear,0.00054954184,0.97842854,0.00026697686,0.01915892,0.0012329596,0.00036304296,fear
neutral,0.12286156,0.010269976,0.0025218918,0.03596971,0.00019387912,0.82818294,neutral
anger,0.5723851,0.06167483,0.01966629,0.33268046,0.00042004592,0.013173245,anger
sadness,0.8644734,0.0643021,0.0008591667,0.06594362,0.0019296624,0.0024918995,anger
sadness,0.45834368,0.04245367,0.0011580662,0.4424927,0.0011476167,0.054404292,anger
sadness,0.0754962,0.08543454,0.015873672,0.29124054,0.0023929267,0.52956206,neutral
fear,0.004952848,0.05179076,0.0018562201,0.0011032154,0.939747,0.0005500664,surprise
surprise,0.0013700753,0.29355776,0.004659486,0.0034677102,0.69657,0.00037490093,surprise
sadness,0.008758084,0.017950471,0.011696737,0.3472965,0.0004662622,0.6138319,neutral
anger,0.022485202,0.08562531,0.05817732,0.7098618,0.0005510683,0.123299316,sadness
happiness,2.916027e-05,5.897318e-06,0.99933535,1.450796e-05,1.3896887e-05,0.00060116657,happiness
happiness,0.02056367,0.06251174,0.47644317,0.02820818,0.38694277,0.025330432,happiness
sadness,0.006325626,0.023059279,0.0064839455,0.94727254,0.00014109956,0.016717538,sadness
surprise,5.5809496e-06,6.586702e-05,8.2864775e-05,6.9363637e-06,0.9996526,0.00018616981,surprise
anger,0.050365973,0.20148396,0.0055063735,0.6707106,0.00081847043,0.071114674,sadness
anger,0.6413564,0.35776338,0.00014750964,0.0001790071,0.00050938147,4.429228e-05,anger
happiness,0.00042569847,5.427303e-05,0.99871576,0.00015999204,4.195963e-05,0.00060231495,happiness
surprise,5.8291593e-05,0.0006522844,0.00039462457,5.8189114e-05,0.99874735,8.928413e-05,surprise
neutral,0.5712659,0.11393059,0.0131954765,0.21404941,0.059866045,0.027692614,anger
sadness,0.9966388,0.0019565276,0.0003507894,0.0008210646,4.338035e-05,0.00018944504,anger
happiness,0.0013942436,0.0041515185,0.982553,0.001999974,0.0020040171,0.007897336,happiness
neutral,0.23636538,0.020012692,0.0021397807,0.053097036,0.00064412324,0.687741,neutral
surprise,0.00019588375,0.0013075336,0.00031454422,7.497224e-05,0.99790263,0.000204464,surprise
fear,0.44235,0.089434765,0.01356822,0.14592724,0.001667541,0.30705222,anger
happiness,0.0033478022,0.0013165047,0.9884885,0.0054254527,0.00025239337,0.0011693372,happiness
sadness,0.06797601,0.04810294,0.21417367,0.6432655,0.00062929676,0.025852656,sadness
happiness,0.00045596022,0.00015968697,0.8472012,0.0011963984,0.00019220951,0.1507945,happiness
anger,0.32200795,0.13789083,0.0014755069,0.4239282,0.0050275233,0.10967004,sadness
anger,0.82318836,0.17224604,0.0006174949,0.0033577643,0.0003092699,0.0002810932,anger
neutral,0.044137448,0.032073397,0.016794939,0.047305215,0.006415248,0.8532738,neutral
happiness,9.642958e-06,6.1105995e-05,0.9970606,0.00014191265,0.0002172441,0.0025094897,happiness
neutral,0.0005279816,0.0009100237,0.0002157017,0.020821447,1.2361458e-05,0.97751254,neutral
neutral,0.0083091,0.005932571,0.0072445716,0.01672147,0.0012851343,0.9605071,neutral
anger,0.99017274,0.009600589,7.562041e-06,4.947651e-05,0.00016335714,6.211657e-06,anger
happiness,0.0003089429,0.000114201655,0.9972747,0.00019918432,9.443843e-05,0.002008605,happiness
happiness,8.0818565e-05,0.00039752168,0.9930507,0.00028728406,0.00023856011,0.0059450986,happiness
happiness,0.019434333,0.0027055722,0.80328417,0.010217566,0.0034802193,0.16087812,happiness
anger,0.9999628,1.8077626e-05,5.5154633e-06,1.1120693e-05,1.0409703e-06,1.2892069e-06,anger
neutral,0.8107509,0.033381365,0.0029016845,0.11402883,0.0013536207,0.037583586,anger
sadness,0.01938683,0.3924168,0.0033943192,0.4143532,0.0011110975,0.16933773,sadness
fear,0.0144280195,0.44921347,0.0028371804,0.022460528,0.5076987,0.0033620964,surprise
sadness,0.062357023,0.17997906,0.0032040183,0.5838127,0.012621109,0.15802613,sadness
happiness,0.02321631,0.8804291,0.057196908,0.00935567,0.022445856,0.0073561477,fear
happiness,0.14610966,0.09712453,0.61233824,0.10870712,0.023905015,0.0118153915,happiness
neutral,0.02501998,0.01809269,0.053469926,0.032459304,0.0077778855,0.8631803,neutral
surprise,0.0021701201,0.021105377,0.0041795783,0.0015100705,0.9648294,0.006205546,surprise
sadness,0.025667174,0.04854919,0.001872929,0.904688,7.81319e-05,0.01914452,sadness
fear,0.22187148,0.60887104,0.001590507,0.1290271,0.026625687,0.012014224,fear
neutral,0.006598577,0.014641684,0.00014003886,0.023841916,0.0004892272,0.9542885,neutral
anger,0.019524677,0.033995803,0.0018168094,0.9427902,0.00011796965,0.0017545597,sadness
anger,0.99343514,0.0065057464,5.457347e-06,2.1082536e-05,3.134986e-05,1.2730425e-06,anger
neutral,0.0098544555,0.030292364,0.003792324,0.13400951,0.00078049104,0.8212708,neutral
fear,0.03404607,0.7803029,0.0016634534,0.1281291,0.0056708395,0.05018758,fear
anger,0.95515656,0.035021562,0.0027340024,0.0027746079,0.0039105,0.00040279742,anger
anger,0.07275276,0.92111135,0.0002671352,0.00035510497,0.005480995,3.269669e-05,fear
happiness,0.004811727,0.00212389,0.9807529,0.0009592665,0.0063175405,0.0050347126,happiness
happiness,4.1328636e-05,2.2748807e-05,0.99972457,2.7146925e-05,4.4836623e-05,0.00013931016,happiness
sadness,0.0063161505,0.003590372,0.0006688241,0.9615864,3.8659517e-05,0.027799519,sadness
fear,0.10276654,0.0109682735,0.07059107,0.4413298,0.00318023,0.37116402,sadness
neutral,0.27543208,0.03165344,0.0047685853,0.32040536,0.0003055208,0.36743498,neutral
surprise,0.0010454973,0.008804466,0.0029729442,0.0012712451,0.9810801,0.004825795,surprise
happiness,0.00045267367,0.0003648776,0.9456775,0.0020127993,5.212809e-05,0.051440068,happiness
surprise,1.9270656e-06,0.0009800869,9.6042335e-05,1.0382072e-05,0.99888617,2.5379755e-05,surprise
happiness,0.0036218187,0.0005213355,0.9877579,0.0023005318,0.00019063003,0.005607804,happiness
sadness,0.14508483,0.09250124,0.1266806,0.45157328,0.000982494,0.1831775,sadness
surprise,0.0071261097,0.54939187,0.00065038103,0.010912965,0.43135342,0.00056518643,fear
neutral,0.036268715,0.06766106,0.0033035518,0.06620612,0.0022710282,0.8242895,neutral
happiness,0.008158222,0.000404172,0.97845,0.0021276039,0.0008312229,0.010028728,happiness
happiness,0.0005596889,0.0042354036,0.0001658619,0.00018323083,0.9945041,0.00035171918,surprise
neutral,0.014672923,0.001088206,0.03578674,0.006523071,0.00024006628,0.9416889,neutral
fear,0.011605229,0.8320495,0.0019152107,0.12053183,0.023823377,0.010074974,fear
sadness,0.05428213,0.042268503,0.0011362145,0.8763192,0.0007085609,0.025285332,sadness
anger,0.019046197,0.08189972,0.019174792,0.063981086,0.0071116635,0.8087866,neutral
anger,0.045656294,0.70327747,0.0043625073,0.22231409,0.014890328,0.009499286,fear
anger,0.35185686,0.09569402,0.004771393,0.46742135,0.0066907234,0.07356561,sadness
neutral,0.007340588,0.14304195,0.0018393514,0.80904686,7.2086754e-05,0.03865915,sadness
fear,0.054599445,0.076540746,0.019526286,0.19879301,0.0057951733,0.64474535,neutral
surprise,0.0008075476,0.068272635,0.002528343,0.0023083293,0.9249485,0.0011346326,surprise
happiness,0.0023369603,0.0004086481,0.97303873,0.00071661285,0.0012232634,0.022275785,happiness
neutral,0.0034743648,0.00079816626,0.0004584043,0.0014305537,0.00021125111,0.9936273,neutral
sadness,0.3005584,0.06526409,0.002005427,0.5131191,0.0013565664,0.11769641,sadness
happiness,0.00032702804,4.9165934e-05,0.99940455,5.0779e-05,6.5292494e-05,0.00010312489,happiness
neutral,0.06348976,0.08092117,0.0040775356,0.5113076,0.0006055467,0.3395984,sadness
fear,0.0047522727,0.90925497,0.00015970938,0.07199939,0.0002596513,0.013573957,fear
neutral,0.05202075,0.03821127,0.0061153276,0.07554404,0.00972028,0.8183884,neutral
neutral,0.02133454,0.0076215756,0.0037840507,0.015672812,0.0014463878,0.9501406,neutral
surprise,0.73650396,0.06641411,0.17610577,0.012552837,0.004128205,0.004295164,anger
neutral,0.07058641,0.2668912,0.100247614,0.16604376,0.048254367,0.3479766,neutral
sadness,0.024364548,0.19633622,0.0041046045,0.74687666,0.015860476,0.012457557,sadness
fear,0.17119832,0.6598625,0.06289304,0.007396868,0.09649621,0.0021530434,fear
happiness,0.0017845897,0.00044243614,0.91066474,0.0019009534,0.00041318414,0.08479413,happiness
anger,0.6919538,0.30416003,0.00023494742,0.0029939674,0.00039659723,0.0002607092,anger
happiness,0.00013476687,0.0001891538,0.9919666,0.0011611562,2.7349384e-05,0.006521063,happiness
